Id,Label,occ_field,weighted_avg_income,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,eigencentrality
520,"Wholesale and Retail Buyers, Except Farm Products",Business Operations Specialists,52464.117265,61,48,109,910114.95,252791.43,1162906.38,3,0.520185,0.548411,148.698155,0.044123,0.035392,0.002324,0,0,0,61,0.29654
700,Logisticians,Business Operations Specialists,65678.635992,33,27,60,210424.71,147865.44,358290.15,3,0.496696,0.517738,30.052251,0.024716,0.018526,0.001414,0,0,0,12,0.159524
940,Tax Preparers,Financial Specialists,49595.164187,46,22,68,295070.53,154626.38,449696.91,3,0.480298,0.502587,108.718474,0.033632,0.012268,0.001991,0,0,0,135,0.227879
1060,Database Administrators,Computer and Mathematical,90005.61739,27,21,48,224902.7,144612.52,369515.22,3,0.479277,0.501109,22.0612,0.019618,0.013591,0.001257,0,0,2,62,0.136739
1220,Operations Research Analysts,Computer and Mathematical,77926.866617,38,22,60,162060.71,115493.41,277554.12,3,0.481838,0.503695,190.106898,0.026172,0.013496,0.001703,0,0,2,126,0.165552
1550,"Engineering Technicians, Except Drafters",Technicians,57611.095603,119,101,220,832664.19,586307.61,1418971.8,3,0.559553,0.610126,822.000117,0.078508,0.069439,0.004303,0,0,2,22,0.54147
1740,Environmental Scientists and Geoscientists,"Life, Physical, and Social Science",80195.72465,26,29,55,124333.16,106982.17,231315.33,3,0.498894,0.520695,110.115026,0.017021,0.016704,0.001425,0,0,2,23,0.111285
1960,"Life, Physical, and Social Science Technicians, nec","Life, Physical, and Social Science",44963.223714,95,110,205,533347.82,404613.78,937961.6,3,0.566583,0.620473,867.740406,0.061641,0.071016,0.003675,0,0,2,84,0.423185
2320,Secondary School Teachers,"Education, Training, and Library",52953.597655,101,96,197,857235.25,911301.13,1768536.38,3,0.558168,0.605691,688.797842,0.066804,0.065051,0.003953,0,0,2,59,0.464262
2750,"Musicians, Singers, and Related Workers","Arts, Design, Entertainment, Sports, and Media",29253.033923,57,46,103,533990.07,338622.44,872612.51,3,0.520185,0.546933,111.241953,0.043108,0.036011,0.00225,0,0,5,185,0.291313
2840,Technical Writers,"Arts, Design, Entertainment, Sports, and Media",70860.040494,26,23,49,105499.39,98026.92,203526.31,3,0.460674,0.488544,37.728921,0.015512,0.012681,0.001371,0,0,5,117,0.099712
2920,"Television, Video, and Motion Picture Camera Operators and Editors","Arts, Design, Entertainment, Sports, and Media",49028.662449,35,30,65,214120.72,209013.44,423134.16,3,0.505039,0.525499,55.020196,0.02248,0.021279,0.001538,0,0,5,52,0.149391
3500,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technicians,53701.661315,27,15,42,243041.58,201447.12,444488.7,3,0.420709,0.448263,50.575307,0.020495,0.005416,0.001331,0,0,8,72,0.125875
3530,"Health Technologists and Technicians, nec",Healthcare Practitioners and Technicians,50069.945704,49,46,95,280959.94,195468.71,476428.65,3,0.517796,0.545455,374.852693,0.037095,0.029591,0.002186,0,0,8,27,0.243241
3630,Massage Therapists,Healthcare Support,24728.771396,21,11,32,125415.84,92725.1,218140.94,3,0.4588,0.478197,15.503023,0.018505,0.006983,0.001057,0,0,8,159,0.115641
3800,"Sheriffs, Bailiffs, Correctional Officers, and Jailers",Protective Service,47974.94698,96,61,157,636614.61,433891.65,1070506.26,3,0.531213,0.564671,387.393382,0.070525,0.043264,0.003371,0,0,3,26,0.470412
3950,"Law enforcement workers, nec",Protective Service,30087.442683,44,75,119,253891.46,355404.92,609296.38,3,0.543373,0.58204,128.969795,0.037167,0.055425,0.001653,0,0,9,136,0.238867
4000,Chefs and Cooks,Food Preparation and Serving,22806.929654,183,237,420,3797889.26,3258023.61,7055912.87,2,0.678195,0.762749,3810.939173,0.111764,0.135116,0.00643,0,0,9,122,0.781003
4010,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving,30540.733942,79,110,189,860338.96,991698.03,1852036.99,3,0.566583,0.620473,646.125781,0.062506,0.074496,0.00279,0,0,9,66,0.407782
4030,Food Preparation Workers,Food Preparation and Serving,17331.029162,102,123,225,1626896.52,1455716.5,3082613.02,3,0.576726,0.635255,650.873358,0.073344,0.084558,0.003635,0,0,9,95,0.497867
4040,Bartenders,Food Preparation and Serving,26540.032857,84,106,190,847791.3,766004.02,1613795.32,3,0.56375,0.616038,689.175317,0.061393,0.073384,0.003304,0,0,9,13,0.414188
4050,"Combined Food Preparation and Serving Workers, Including Fast Food",Food Preparation and Serving,15703.514168,71,78,149,768479.34,522289.04,1290768.38,3,0.544029,0.584627,373.311457,0.057848,0.056258,0.002564,0,0,9,147,0.381135
4110,Waiters and Waitresses,Food Preparation and Serving,20701.503119,137,185,322,2457706.56,2102967.26,4560673.82,3,0.628134,0.70473,1835.990771,0.093412,0.114827,0.004867,0,0,9,30,0.651094
4120,"Food Servers, Nonrestaurant",Food Preparation and Serving,22226.599626,35,39,74,285988.15,227253.6,513241.75,3,0.516018,0.539172,30.137621,0.031688,0.032492,0.001332,0,0,9,55,0.194548
4140,Dishwashers,Food Preparation and Serving,16141.893419,83,69,152,1142064.55,795801.8,1937866.35,3,0.536905,0.57391,272.620083,0.065059,0.048581,0.002852,0,0,9,31,0.428241
4220,Janitors and Building Cleaners,Building and Grounds Cleaning and Maintenance,25913.510066,205,206,411,3736408.16,2705308.66,6441716.82,3,0.645207,0.727273,3557.801878,0.121067,0.124118,0.00723,0,0,9,186,0.850105
4250,Grounds Maintenance Workers,Building and Grounds Cleaning and Maintenance,20123.025342,170,238,408,3128271.7,2877564.74,6005836.44,2,0.679217,0.763858,3531.474393,0.105677,0.135656,0.005877,0,0,9,58,0.741581
4430,"Entertainment Attendants and Related Workers, nec",Personal Care and Service,18029.829569,95,93,188,623683.98,563680.53,1187364.51,3,0.555419,0.601996,501.195899,0.067286,0.063436,0.003442,0,0,9,174,0.454534
4620,Recreation and Fitness Workers,Personal Care and Service,32270.730496,76,92,168,542284.81,654166.86,1196451.67,3,0.55202,0.599409,423.446218,0.05359,0.060259,0.002841,0,0,9,103,0.360155
4800,Advertising Sales Agents,Sales and Related,69251.956833,62,59,121,477660.33,365416.14,843076.47,3,0.529965,0.562454,173.847279,0.049654,0.041291,0.00233,0,0,1,56,0.341745
4810,Insurance Sales Agents,Sales and Related,67754.191405,99,68,167,1063339.42,797496.48,1860835.9,3,0.538186,0.57391,378.724117,0.072106,0.049468,0.003653,0,0,1,97,0.494862
5000,First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support,60001.59664,95,123,218,428082.34,538658.75,966741.09,3,0.575255,0.634516,847.862319,0.071106,0.08223,0.00377,0,0,9,138,0.494084
